,,Violent,Non-Violent,,
2012,Spring,24643,60880,,
,Summer,27154,65573,,
,Fall,22450,58958,,
,Winter,19633,55338,,
,,,,,
2013,Spring,21974,56166,,
,Summer,24447,59769,,
,Fall,20616,54343,,
,Winter,17943,50320,,
,,,,,
2014,Spring,19871,49226,,
,Summer,21269,51342,,
,Fall,427,1076,,
,Winter,10171,27740,,
,,,,,
2015,Spring,3560,7896,,
,Summer,15,225,,
,Fall,26,269,,
,Winter,10093,25370,,
,,,,,
2016,Spring,7361,14747,,
,Summer,0,0,,Missing Values
,Fall,0,0,,Missing Values
,Winter,247,685,,
